estado,ano,turno,situacao,quantidade,proporcao,uf
Minas Gerais,1989,1,DEMAIS,8399385,0.8904159108619931,MG
Minas Gerais,1989,2,ABSTENÇÃO,1033718,0.10958408913800687,MG
Minas Gerais,1989,2,DEMAIS,8399385,0.8904159108619931,MG
Minas Gerais,1994,1,ABSTENÇÃO,1722478,0.16311747856646835,MG
Minas Gerais,1994,1,DEMAIS,8837261,0.8368825214335316,MG
Minas Gerais,1998,1,ABSTENÇÃO,2349275,0.19883526137513063,MG
Minas Gerais,1998,1,DEMAIS,9465908,0.8011647386248694,MG
Minas Gerais,2002,1,ABSTENÇÃO,2166502,0.17085191029056707,MG
Minas Gerais,2002,1,DEMAIS,10514082,0.829148089709433,MG
Minas Gerais,2002,2,ABSTENÇÃO,2474895,0.19517200469631368,MG
Minas Gerais,2002,2,DEMAIS,10205689,0.8048279953036863,MG
Minas Gerais,2006,1,ABSTENÇÃO,2447141,0.08944400104738848,MG
Minas Gerais,2006,1,DEMAIS,24912335,0.9105559989526115,MG
Minas Gerais,2006,2,ABSTENÇÃO,2683640,0.09808813589850916,MG
Minas Gerais,2006,2,DEMAIS,24675836,0.9019118641014908,MG
Minas Gerais,2010,1,ABSTENÇÃO,2675492,0.18433954570828281,MG
Minas Gerais,2010,1,DEMAIS,11838442,0.8156604542917172,MG
Minas Gerais,2010,2,ABSTENÇÃO,3045244,0.20981261479774893,MG
Minas Gerais,2010,2,DEMAIS,11468869,0.7901873852022511,MG
Minas Gerais,2014,1,ABSTENÇÃO,3050396,0.20020217137995158,MG
Minas Gerais,2014,1,DEMAIS,12186182,0.7997978286200484,MG
Minas Gerais,2014,2,ABSTENÇÃO,3225049,0.2116576784071561,MG
Minas Gerais,2014,2,DEMAIS,12012050,0.7883423215928439,MG
Pará,1989,1,ABSTENÇÃO,559053,0.2556428144199973,PA
Pará,1989,1,DEMAIS,1627799,0.7443571855800026,PA
Pará,1989,2,ABSTENÇÃO,559053,0.2556428144199973,PA
Pará,1989,2,DEMAIS,1627799,0.7443571855800026,PA
Pará,1994,1,ABSTENÇÃO,914818,0.3287010205412537,PA
Pará,1994,1,DEMAIS,1868313,0.6712989794587463,PA
Pará,1998,1,ABSTENÇÃO,1073095,0.33317881580164793,PA
Pará,1998,1,DEMAIS,2147683,0.6668211841983521,PA
Pará,2002,1,ABSTENÇÃO,792338,0.22199838839645447,PA
Pará,2002,1,DEMAIS,2776778,0.7780016116035455,PA
Pará,2002,2,ABSTENÇÃO,980481,0.2746958605431323,PA
Pará,2002,2,DEMAIS,2588852,0.7253041394568677,PA
Pará,2006,1,ABSTENÇÃO,824058,0.09909938945122765,PA
Pará,2006,1,DEMAIS,7491412,0.9009006105487724,PA
Pará,2006,2,ABSTENÇÃO,1003679,0.1207002129765365,PA
Pará,2006,2,DEMAIS,7311791,0.8792997870234635,PA
Pará,2010,1,ABSTENÇÃO,1008763,0.21177217701091755,PA
Pará,2010,1,DEMAIS,3754672,0.7882278229890824,PA
Pará,2010,2,ABSTENÇÃO,1275991,0.26786438157424336,PA
Pará,2010,2,DEMAIS,3487580,0.7321356184257567,PA
Pará,2014,1,ABSTENÇÃO,1094107,0.21097523115340489,PA
Pará,2014,1,DEMAIS,4091843,0.7890247688465951,PA
Pará,2014,2,ABSTENÇÃO,1308042,0.25222409970167936,PA
Pará,2014,2,DEMAIS,3877989,0.7477759002983206,PA
Paraíba,1989,1,ABSTENÇÃO,289537,0.16484525030217767,PB
Paraíba,1989,1,DEMAIS,1466880,0.8351547496978223,PB
Paraíba,1989,2,ABSTENÇÃO,289537,0.16484525030217767,PB
Paraíba,1989,2,DEMAIS,1466880,0.8351547496978223,PB
Paraíba,1994,1,ABSTENÇÃO,471857,0.22560633342672695,PB
Paraíba,1994,1,DEMAIS,1619649,0.774393666573273,PB
Paraíba,1998,1,ABSTENÇÃO,547654,0.2463293750300797,PB
Paraíba,1998,1,DEMAIS,1675605,0.7536706249699203,PB
Paraíba,2002,1,ABSTENÇÃO,416560,0.1793918179829359,PB
Paraíba,2002,1,DEMAIS,1905508,0.8206081820170641,PB
Paraíba,2002,2,ABSTENÇÃO,427754,0.1842125209080871,PB
Paraíba,2002,2,DEMAIS,1894314,0.8157874790919128,PB
Paraíba,2006,1,ABSTENÇÃO,419613,0.08151731742512723,PB
Paraíba,2006,1,DEMAIS,4727919,0.9184826825748728,PB
Paraíba,2006,2,ABSTENÇÃO,441170,0.08570514957459226,PB
Paraíba,2006,2,DEMAIS,4706362,0.9142948504254077,PB
Paraíba,2010,1,ABSTENÇÃO,506052,0.18480429373851712,PB
Paraíba,2010,1,DEMAIS,2232261,0.8151957062614829,PB
Paraíba,2010,2,ABSTENÇÃO,521249,0.19034877805892442,PB
Paraíba,2010,2,DEMAIS,2217140,0.8096512219410755,PB
Paraíba,2014,1,ABSTENÇÃO,500260,0.17647212378235785,PB
Paraíba,2014,1,DEMAIS,2334522,0.8235278762176421,PB
Paraíba,2014,2,ABSTENÇÃO,510208,0.17997516649734732,PB
Paraíba,2014,2,DEMAIS,2324672,0.8200248335026527,PB
Paraná,1989,1,ABSTENÇÃO,526531,0.10435394934146923,PR
Paraná,1989,1,DEMAIS,4519095,0.8956460506585308,PR
Paraná,1989,2,ABSTENÇÃO,526531,0.10435394934146923,PR
Paraná,1989,2,DEMAIS,4519095,0.8956460506585308,PR
Paraná,1994,1,ABSTENÇÃO,1002593,0.1744733265035465,PR
Paraná,1994,1,DEMAIS,4743804,0.8255266734964535,PR
Paraná,1998,1,ABSTENÇÃO,1348511,0.21122597784220756,PR
Paraná,1998,1,DEMAIS,5035699,0.7887740221577925,PR
Paraná,2002,1,ABSTENÇÃO,1078033,0.16178468558228923,PR
Paraná,2002,1,DEMAIS,5585348,0.8382153144177108,PR
Paraná,2002,2,ABSTENÇÃO,1235027,0.1853453974791476,PR
Paraná,2002,2,DEMAIS,5428354,0.8146546025208524,PR
Paraná,2006,1,ABSTENÇÃO,1153861,0.08101526177190348,PR
Paraná,2006,1,DEMAIS,13088653,0.9189847382280966,PR
Paraná,2006,2,ABSTENÇÃO,1330661,0.0934288005614739,PR
Paraná,2006,2,DEMAIS,12911853,0.906571199438526,PR
Paraná,2010,1,ABSTENÇÃO,1250376,0.1645664865183583,PR
Paraná,2010,1,DEMAIS,6347623,0.8354335134816416,PR
Paraná,2010,2,ABSTENÇÃO,1491451,0.19629174742114314,PR
Paraná,2010,2,DEMAIS,6106683,0.8037082525788568,PR
Paraná,2014,1,ABSTENÇÃO,1324920,0.16853977607152928,PR
Paraná,2014,1,DEMAIS,6536251,0.8314602239284707,PR
Paraná,2014,2,ABSTENÇÃO,1448941,0.1843081839727523,PR
Paraná,2014,2,DEMAIS,6412571,0.8156918160272477,PR
Pernambuco,1989,1,ABSTENÇÃO,553572,0.14706455094825038,PE
Pernambuco,1989,1,DEMAIS,3210571,0.8529354490517497,PE
Pernambuco,1989,2,ABSTENÇÃO,553572,0.14706455094825038,PE
